               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11027,            0.029068,                   0,           0.0019192,             0.90476,           0.0051171,           0.0012795,            0.093467,            0.027227,                   0,              0.0928,              0.0008,              0.0008
                   1,             0.09604,            0.027169,                   0,            0.039042,             0.66667,            0.079279,            0.023476,            0.080077,            0.024285,                   0,            0.084683,           0.0016832,           0.0016832
                   2,            0.083116,            0.024758,                   0,             0.46602,             0.28571,             0.32794,             0.12746,            0.065891,            0.024391,                   0,            0.076549,           0.0025485,           0.0025485
                   3,             0.07435,            0.023451,                   0,             0.30339,             0.52381,             0.30927,            0.075067,            0.063906,            0.022619,                   0,            0.068396,            0.003396,            0.003396
                   4,            0.065327,            0.020764,                   0,             0.31291,              0.7619,             0.49054,             0.18771,            0.059134,            0.020914,                   0,            0.060226,           0.0042258,           0.0042258
                   5,            0.061755,            0.020816,                   0,             0.14007,             0.47619,              0.1821,            0.056663,            0.057746,            0.019825,                   0,            0.052038,           0.0050376,           0.0050376
                   6,            0.062692,            0.017537,                   0,             0.33754,             0.61905,             0.42922,             0.11225,            0.060777,             0.01894,                   0,            0.043832,           0.0058317,           0.0058317
                   7,            0.058126,            0.020156,                   0,             0.32886,             0.25736,             0.33884,             0.21439,            0.055119,            0.019395,                   0,            0.035608,            0.006608,            0.006608
                   8,            0.055918,            0.016886,                   0,              0.6174,             0.28571,             0.64006,             0.29846,            0.058582,            0.018877,                   0,            0.027366,           0.0073664,           0.0073664
                   9,            0.050757,            0.017342,                   0,             0.74296,             0.41382,             0.66995,             0.34986,            0.048736,            0.019248,                   0,            0.019107,            0.008107,            0.008107
                  10,            0.052075,            0.018744,                   0,             0.33739,             0.61905,             0.44296,             0.16169,            0.050513,            0.018724,                   0,             0.01083,           0.0088298,           0.0088298
                  11,            0.047847,            0.018208,                   0,             0.42538,             0.47619,             0.42215,             0.14073,            0.054206,            0.016435,                   0,            0.008911,            0.008911,            0.008911
                  12,            0.048339,            0.014661,                   0,             0.39404,             0.47619,             0.42025,             0.25478,             0.04617,            0.016329,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.046961,            0.017992,                   0,             0.37267,              0.3965,             0.39604,             0.23477,            0.044971,            0.016303,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.042048,            0.017604,                   0,             0.41201,             0.52381,             0.47973,             0.29567,            0.037847,            0.016196,                   0,            0.008713,            0.008713,            0.008713
                  15,             0.04185,            0.016951,                   0,             0.77298,             0.66667,             0.71343,             0.21626,            0.043618,            0.014524,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.039493,            0.013978,                   0,             0.39943,             0.71429,             0.59572,             0.34486,            0.040149,            0.014075,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.038869,            0.014734,                   0,             0.77568,             0.52381,              0.6702,             0.26076,            0.039589,            0.013687,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.037906,            0.015318,                   0,             0.65518,             0.95238,             0.77633,             0.46138,            0.038659,            0.012798,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.03773,            0.014149,                   0,             0.62409,             0.95238,             0.78212,             0.45996,            0.027088,            0.012858,                   0,            0.008218,            0.008218,            0.008218
                  20,             0.03575,            0.014131,                   0,             0.73696,             0.95238,             0.86811,             0.43767,            0.033001,            0.011587,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.031273,            0.011377,                   0,             0.85057,                   1,             0.93232,             0.61905,            0.023385,            0.011959,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.035182,            0.013249,                   0,             0.91188,             0.98596,             0.95196,             0.46794,            0.027626,            0.011682,                   0,            0.007921,            0.007921,            0.007921
                  23,             0.03633,            0.011503,                   0,             0.78054,             0.95238,             0.94588,             0.46403,            0.025909,            0.010964,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.031314,            0.010333,                   0,             0.80734,             0.99783,             0.87464,             0.46472,            0.033344,           0.0099211,                   0,            0.007723,            0.007723,            0.007723
