               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.025004,            0.010685,                   0,             0.98867,                   1,               0.995,              0.7538,            0.017432,            0.010406,                   0,              0.0928,              0.0008,              0.0008
                   1,            0.021282,            0.011677,                   0,              0.9871,                   1,               0.995,             0.85918,            0.014985,            0.010243,                   0,            0.084683,           0.0016832,           0.0016832
                   2,            0.021327,            0.010524,                   0,             0.98494,                   1,               0.995,              0.8102,            0.015813,           0.0097992,                   0,            0.076549,           0.0025485,           0.0025485
                   3,            0.022322,            0.011182,                   0,             0.98456,                   1,               0.995,             0.81426,            0.019309,           0.0093484,                   0,            0.068396,            0.003396,            0.003396
                   4,            0.022748,           0.0092545,                   0,             0.99165,                   1,               0.995,             0.82311,            0.015698,           0.0093052,                   0,            0.060226,           0.0042258,           0.0042258
                   5,             0.02326,            0.010067,                   0,             0.99435,                   1,               0.995,             0.61118,            0.023687,           0.0085096,                   0,            0.052038,           0.0050376,           0.0050376
                   6,            0.027357,            0.008687,                   0,             0.98798,             0.95238,              0.9886,             0.68165,            0.028567,           0.0080457,                   0,            0.043832,           0.0058317,           0.0058317
                   7,            0.029599,            0.010427,                   0,             0.98914,             0.95238,             0.99318,             0.69679,            0.025778,           0.0086448,                   0,            0.035608,            0.006608,            0.006608
                   8,            0.031162,           0.0085744,                   0,             0.86001,             0.95238,             0.93229,             0.60143,            0.028075,           0.0076637,                   0,            0.027366,           0.0073664,           0.0073664
                   9,            0.031013,           0.0090502,                   0,             0.88106,             0.95238,               0.985,             0.72698,             0.02637,           0.0084426,                   0,            0.019107,            0.008107,            0.008107
                  10,            0.033381,           0.0098999,                   0,             0.90621,             0.95238,             0.98262,              0.4482,            0.034372,           0.0072632,                   0,             0.01083,           0.0088298,           0.0088298
                  11,            0.033403,           0.0093548,                   0,             0.97815,             0.95238,                0.99,              0.7192,            0.018886,            0.008074,                   0,            0.008911,            0.008911,            0.008911
                  12,            0.030732,           0.0077536,                   0,             0.69197,             0.95238,             0.83089,              0.5948,            0.029087,           0.0076137,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.031103,           0.0099665,                   0,             0.99285,                   1,               0.995,             0.76738,            0.026679,           0.0072603,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.031059,           0.0092636,                   0,             0.88908,                   1,             0.98009,              0.6147,            0.035206,           0.0070269,                   0,            0.008713,            0.008713,            0.008713
                  15,             0.03491,           0.0090812,                   0,             0.99607,                   1,               0.995,             0.73485,            0.016578,           0.0074182,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.031034,           0.0076249,                   0,             0.99423,                   1,               0.995,             0.69515,            0.023724,            0.006717,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.029778,           0.0084069,                   0,             0.99031,                   1,               0.995,             0.59072,            0.025326,           0.0066388,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.03056,           0.0089261,                   0,             0.93378,                   1,               0.995,             0.71084,            0.027384,           0.0064385,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.029298,           0.0083579,                   0,             0.96186,                   1,               0.995,             0.74417,            0.026476,           0.0073164,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.028093,           0.0081371,                   0,             0.86837,                   1,              0.8825,             0.49648,            0.019837,           0.0066242,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.025842,           0.0067889,                   0,             0.99524,                   1,               0.995,             0.72506,            0.017738,           0.0070047,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.028045,           0.0080765,                   0,             0.98377,                   1,               0.995,             0.72532,            0.022236,           0.0062356,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.030354,           0.0071124,                   0,               0.995,                   1,               0.995,             0.73357,            0.020078,           0.0065968,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.025385,           0.0067735,                   0,             0.99272,                   1,               0.995,             0.81651,             0.02015,           0.0063281,                   0,            0.007723,            0.007723,            0.007723
                  25,             0.02587,           0.0069721,                   0,             0.99535,                   1,               0.995,              0.7321,            0.023072,           0.0061057,                   0,            0.007624,            0.007624,            0.007624
                  26,             0.02511,           0.0075208,                   0,             0.99568,                   1,               0.995,             0.79088,            0.023041,           0.0061154,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.026908,           0.0074376,                   0,             0.99786,                   1,               0.995,             0.71916,            0.022802,           0.0061193,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.025556,           0.0086731,                   0,             0.99714,                   1,               0.995,             0.77236,            0.019942,           0.0055652,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.023942,           0.0063475,                   0,             0.99647,                   1,               0.995,             0.68233,            0.028207,           0.0053599,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.023472,           0.0071319,                   0,             0.99626,                   1,               0.995,             0.76087,            0.025134,           0.0053856,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.024458,             0.00666,                   0,              0.9962,                   1,               0.995,             0.78977,             0.01619,           0.0054331,                   0,             0.00703,             0.00703,             0.00703
                  32,             0.02274,           0.0065665,                   0,             0.99578,                   1,               0.995,             0.78389,            0.018257,           0.0057909,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.025003,           0.0067833,                   0,             0.99605,                   1,               0.995,             0.80712,            0.015312,           0.0059361,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.025952,           0.0060959,                   0,             0.99624,                   1,               0.995,             0.74022,            0.018808,           0.0063264,                   0,            0.006733,            0.006733,            0.006733
                  35,             0.02534,           0.0071799,                   0,             0.99714,                   1,               0.995,             0.80588,             0.01753,           0.0067592,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.022488,           0.0063909,                   0,             0.95096,                   1,             0.99318,             0.81706,            0.017966,           0.0068855,                   0,            0.006535,            0.006535,            0.006535
                  37,              0.0213,           0.0060148,                   0,              0.9973,                   1,               0.995,             0.77214,            0.017508,           0.0064621,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.021238,           0.0061195,                   0,             0.99714,                   1,               0.995,             0.76319,            0.022334,            0.007195,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.023678,           0.0065282,                   0,              0.9967,                   1,               0.995,             0.81328,            0.019385,           0.0054412,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.023407,           0.0054817,                   0,             0.99631,                   1,               0.995,             0.82349,            0.012348,           0.0049841,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.021158,           0.0057399,                   0,             0.99621,                   1,               0.995,             0.82344,            0.014987,           0.0053072,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.017987,           0.0063155,                   0,             0.99666,                   1,               0.995,             0.87175,            0.014013,           0.0045164,                   0,            0.005941,            0.005941,            0.005941
                  43,             0.02211,           0.0057682,                   0,              0.9967,                   1,               0.995,             0.84929,             0.01424,           0.0046592,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.020424,           0.0052681,                   0,             0.99677,                   1,               0.995,             0.83964,            0.013314,           0.0046611,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.019208,           0.0068575,                   0,             0.99664,                   1,               0.995,             0.77549,            0.018354,           0.0044415,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.021034,           0.0051235,                   0,             0.99623,                   1,               0.995,             0.76456,            0.018992,           0.0044091,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.020004,           0.0055153,                   0,             0.99618,                   1,               0.995,             0.81948,            0.017937,           0.0046895,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.018894,           0.0050832,                   0,             0.99623,                   1,               0.995,             0.84017,            0.017502,           0.0047708,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.018457,           0.0051298,                   0,              0.9964,                   1,               0.995,             0.84435,            0.014659,           0.0044541,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.019344,           0.0059887,                   0,             0.99623,                   1,               0.995,             0.79837,            0.016003,           0.0043188,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.021801,           0.0056819,                   0,             0.99631,                   1,               0.995,             0.87147,            0.012209,           0.0042882,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.017758,           0.0055102,                   0,             0.99596,                   1,               0.995,             0.84273,            0.013067,           0.0045536,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.018538,           0.0046795,                   0,              0.9963,                   1,               0.995,             0.85222,            0.014154,           0.0042187,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.016365,           0.0052773,                   0,             0.99641,                   1,               0.995,             0.79168,            0.016039,           0.0046078,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.017733,            0.004764,                   0,             0.99651,                   1,               0.995,             0.86596,            0.012706,           0.0040035,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.016461,           0.0048419,                   0,             0.99671,                   1,               0.995,             0.88218,            0.012583,           0.0039266,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.015673,            0.004419,                   0,             0.99631,                   1,               0.995,             0.85187,            0.012605,           0.0040826,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.016387,           0.0050663,                   0,             0.99617,                   1,               0.995,             0.88131,            0.012857,           0.0039334,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.017221,           0.0047049,                   0,             0.99695,                   1,               0.995,             0.92445,            0.011922,            0.004023,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.016545,            0.004342,                   0,             0.99715,                   1,               0.995,              0.8825,            0.012074,           0.0039375,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.016061,           0.0056696,                   0,             0.99693,                   1,               0.995,             0.90195,            0.012025,           0.0038352,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.016244,           0.0041923,                   0,             0.99708,                   1,               0.995,             0.77204,            0.019917,           0.0042028,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.018014,            0.004729,                   0,             0.99685,                   1,               0.995,             0.86525,             0.01246,           0.0037762,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.016582,           0.0047281,                   0,             0.99695,                   1,               0.995,             0.86653,            0.011484,           0.0037913,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.014556,            0.005099,                   0,             0.99697,                   1,               0.995,              0.8441,            0.015958,           0.0038284,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.014448,           0.0049199,                   0,             0.99701,                   1,               0.995,             0.84674,            0.013509,           0.0036823,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.015339,           0.0050469,                   0,             0.99709,                   1,               0.995,             0.88525,            0.010105,           0.0032558,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.014999,            0.005553,                   0,               0.997,                   1,               0.995,             0.90619,           0.0094785,           0.0032219,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.014622,           0.0040075,                   0,             0.99679,                   1,               0.995,             0.91453,           0.0097276,            0.003322,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.014806,           0.0045723,                   0,             0.99677,                   1,               0.995,             0.91241,            0.013185,           0.0036014,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.014952,           0.0049434,                   0,             0.99673,                   1,               0.995,             0.89634,           0.0096197,            0.003458,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.013127,           0.0052806,                   0,             0.99674,                   1,               0.995,             0.92325,            0.010247,           0.0036128,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.014685,           0.0044904,                   0,             0.99685,                   1,               0.995,              0.9288,            0.010787,           0.0036073,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.012693,           0.0036698,                   0,             0.99713,                   1,               0.995,             0.90796,            0.010999,           0.0035995,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.014533,           0.0049616,                   0,             0.99707,                   1,               0.995,              0.8869,           0.0096302,           0.0032966,                   0,            0.002674,            0.002674,            0.002674
                  76,             0.01237,           0.0047219,                   0,             0.99704,                   1,               0.995,             0.86496,            0.011819,           0.0033524,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.013126,           0.0049093,                   0,             0.99701,                   1,               0.995,             0.89208,            0.011051,           0.0033048,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.012481,           0.0039232,                   0,             0.99708,                   1,               0.995,             0.89639,            0.011597,            0.003471,                   0,            0.002377,            0.002377,            0.002377
                  79,             0.01323,           0.0043173,                   0,             0.99712,                   1,               0.995,             0.91278,            0.010961,           0.0032604,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.012419,           0.0040219,                   0,             0.99698,                   1,               0.995,             0.91413,            0.011608,            0.003366,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.012044,           0.0041141,                   0,             0.99685,                   1,               0.995,             0.90595,            0.010402,           0.0033236,                   0,             0.00208,             0.00208,             0.00208
                  82,             0.01154,           0.0050212,                   0,             0.99683,                   1,               0.995,             0.91312,           0.0088196,           0.0033013,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.012197,           0.0039652,                   0,             0.99685,                   1,               0.995,             0.91389,           0.0093321,           0.0032887,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.011616,           0.0038602,                   0,             0.99685,                   1,               0.995,             0.90828,           0.0091761,           0.0031215,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.011641,           0.0041913,                   0,             0.99689,                   1,               0.995,             0.90658,           0.0084742,           0.0029436,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.011191,           0.0035238,                   0,             0.99685,                   1,               0.995,             0.90329,           0.0097148,           0.0030248,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.012273,           0.0041156,                   0,             0.99695,                   1,               0.995,             0.91391,           0.0088406,           0.0029143,                   0,            0.001486,            0.001486,            0.001486
                  88,           0.0098283,           0.0038261,                   0,             0.99693,                   1,               0.995,               0.917,           0.0086462,           0.0029738,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.011293,           0.0040196,                   0,             0.99698,                   1,               0.995,             0.91236,           0.0091181,           0.0029433,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.011909,           0.0043002,                   0,             0.99697,                   1,               0.995,             0.90751,           0.0088452,           0.0028974,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.010078,           0.0038524,                   0,             0.99697,                   1,               0.995,             0.91522,           0.0087828,           0.0029379,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.010379,           0.0042618,                   0,             0.99692,                   1,               0.995,             0.93077,           0.0086391,           0.0029142,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.01086,           0.0041577,                   0,             0.99698,                   1,               0.995,             0.91803,           0.0090597,           0.0029588,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.010197,           0.0041662,                   0,             0.99699,                   1,               0.995,              0.9186,           0.0088958,           0.0029825,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.010336,           0.0045256,                   0,             0.99704,                   1,               0.995,              0.9244,            0.009301,           0.0030441,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.010527,           0.0045033,                   0,             0.99704,                   1,               0.995,             0.92357,           0.0088742,           0.0029991,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.010111,           0.0038626,                   0,             0.99706,                   1,               0.995,              0.9254,           0.0089105,           0.0029562,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.011738,           0.0040232,                   0,              0.9971,                   1,               0.995,              0.9142,           0.0086619,            0.002907,                   0,            0.000397,            0.000397,            0.000397
                  99,           0.0086865,           0.0035039,                   0,             0.99711,                   1,               0.995,             0.91535,           0.0086492,           0.0029082,                   0,            0.000298,            0.000298,            0.000298
