epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.77405,1.28138,0.74395,1.04234,0.7542,0.56586,0.61776,0.29268,1.79793,1.02075,1.2984,0.00046,0.00046,0.00046
2,13.3122,1.28073,0.72474,0.99903,0.7215,0.56364,0.60698,0.27558,1.8083,1.01033,1.28817,0.000939073,0.000939073,0.000939073
3,18.6694,1.32813,0.73737,1.01856,0.73652,0.56364,0.61603,0.29456,1.78758,1.01496,1.27717,0.00141441,0.00141441,0.00141441
4,24.2372,1.33992,0.75315,1.01951,0.69814,0.62476,0.64218,0.29899,1.79298,0.97826,1.25768,0.00188319,0.00188319,0.00188319
5,29.5735,1.34002,0.74072,1.00735,0.74674,0.628,0.663,0.30638,1.78663,0.92061,1.2673,0.00196861,0.00196861,0.00196861
6,34.9491,1.38225,0.77003,1.03712,0.69981,0.6,0.62379,0.29414,1.80301,0.95854,1.26006,0.00195111,0.00195111,0.00195111
7,40.2986,1.34531,0.73902,1.02292,0.74966,0.56883,0.62353,0.28596,1.86606,0.99197,1.30377,0.00192985,0.00192985,0.00192985
8,45.6646,1.34448,0.76901,1.03606,0.72873,0.57403,0.62008,0.28619,1.85556,0.94856,1.26938,0.00190492,0.00190492,0.00190492
9,51.2338,1.34,0.73287,1.01237,0.72883,0.59221,0.62752,0.28646,1.8742,0.99433,1.27096,0.00187643,0.00187643,0.00187643
10,56.6327,1.33781,0.73783,1.01237,0.78169,0.6026,0.64932,0.29979,1.8491,0.97258,1.26408,0.00184448,0.00184448,0.00184448
11,61.9998,1.33956,0.75595,1.02877,0.76457,0.57143,0.6473,0.3059,1.75427,0.94009,1.23858,0.00180921,0.00180921,0.00180921
12,67.2883,1.32764,0.74215,1.00779,0.75391,0.6026,0.64241,0.29653,1.78846,1.00387,1.24608,0.00177074,0.00177074,0.00177074
13,72.5844,1.2829,0.70519,1.00818,0.74193,0.58246,0.62427,0.29963,1.78918,0.96429,1.24298,0.00172924,0.00172924,0.00172924
14,77.8963,1.28233,0.71003,1.01072,0.77236,0.58163,0.64315,0.29948,1.8325,0.92629,1.26508,0.00168486,0.00168486,0.00168486
15,83.1594,1.30187,0.71108,1.00655,0.75547,0.58182,0.63572,0.29537,1.88278,0.98339,1.31594,0.00163779,0.00163779,0.00163779
16,88.8927,1.32789,0.73985,1.03374,0.6962,0.59523,0.59816,0.27909,1.8773,1.01682,1.30411,0.0015882,0.0015882,0.0015882
17,95.0317,1.30089,0.70329,1.01149,0.73397,0.5948,0.64261,0.31253,1.80973,0.92226,1.26962,0.00153629,0.00153629,0.00153629
18,100.863,1.29246,0.70152,1.00481,0.73968,0.58182,0.61481,0.2864,1.86384,0.99525,1.28998,0.00148227,0.00148227,0.00148227
19,106.931,1.27337,0.69724,0.99172,0.74158,0.57395,0.63107,0.29562,1.81852,1.02891,1.23892,0.00142635,0.00142635,0.00142635
20,112.759,1.25994,0.68134,1.00705,0.72574,0.61039,0.64339,0.30395,1.80657,0.94751,1.27581,0.00136876,0.00136876,0.00136876
21,118.635,1.26573,0.68541,1.00004,0.77228,0.57143,0.6422,0.29463,1.80796,0.95295,1.25746,0.00130971,0.00130971,0.00130971
22,124.134,1.24473,0.68209,0.9867,0.77644,0.58182,0.63581,0.28978,1.83207,0.97598,1.28124,0.00124944,0.00124944,0.00124944
23,129.832,1.22136,0.66561,0.97183,0.76904,0.5974,0.64608,0.29827,1.78095,0.96433,1.25913,0.00118819,0.00118819,0.00118819
24,135.424,1.26487,0.69026,0.99011,0.75255,0.61558,0.64465,0.31097,1.75856,0.97172,1.23498,0.00112621,0.00112621,0.00112621
25,140.988,1.24409,0.67713,0.99364,0.73694,0.62578,0.64764,0.3101,1.75892,0.94357,1.25791,0.00106373,0.00106373,0.00106373
26,146.615,1.18962,0.63324,0.97411,0.77787,0.61558,0.65182,0.30708,1.76123,0.91436,1.26802,0.001001,0.001001,0.001001
27,152.369,1.20216,0.64948,0.98817,0.74001,0.62857,0.63865,0.31013,1.77106,0.91045,1.27938,0.000938272,0.000938272,0.000938272
28,157.944,1.2078,0.64991,0.97328,0.7542,0.6296,0.65533,0.31464,1.75165,0.94906,1.25099,0.000875792,0.000875792,0.000875792
29,163.526,1.20447,0.64767,0.96877,0.79257,0.60519,0.65295,0.30933,1.81684,0.94252,1.27464,0.000813806,0.000813806,0.000813806
30,169.335,1.19492,0.65112,0.9745,0.76914,0.60576,0.64286,0.3038,1.79776,0.93992,1.28356,0.000752559,0.000752559,0.000752559
31,174.642,1.1927,0.62447,0.96135,0.74261,0.61558,0.64133,0.31134,1.75398,0.87591,1.26467,0.000692292,0.000692292,0.000692292
32,179.933,1.14728,0.61607,0.96017,0.78162,0.61357,0.64872,0.31968,1.76899,0.91115,1.2717,0.000633244,0.000633244,0.000633244
33,185.193,1.1372,0.60702,0.96061,0.75962,0.60779,0.64308,0.31665,1.76623,0.92157,1.26767,0.000575646,0.000575646,0.000575646
34,190.524,1.14774,0.61326,0.95598,0.80115,0.6,0.65572,0.3207,1.7625,0.91397,1.25605,0.000519728,0.000519728,0.000519728
35,195.819,1.11603,0.60279,0.96227,0.78648,0.60779,0.65396,0.32433,1.76606,0.90602,1.26483,0.000465709,0.000465709,0.000465709
36,201.092,1.12246,0.60578,0.95027,0.77925,0.59481,0.64736,0.31925,1.78294,0.90707,1.27672,0.000413803,0.000413803,0.000413803
37,206.375,1.12444,0.59922,0.95348,0.80093,0.60614,0.66335,0.3241,1.78873,0.90606,1.27996,0.000364213,0.000364213,0.000364213
38,211.632,1.12464,0.59456,0.95379,0.80052,0.60455,0.65579,0.31783,1.78823,0.90436,1.27427,0.000317137,0.000317137,0.000317137
39,216.998,1.14933,0.61625,0.98074,0.7843,0.59481,0.64874,0.31594,1.78854,0.91662,1.28037,0.00027276,0.00027276,0.00027276
40,222.263,1.10764,0.59107,0.95248,0.77754,0.59916,0.64848,0.31534,1.77108,0.919,1.26607,0.000231257,0.000231257,0.000231257
41,227.467,1.14714,0.61653,0.96235,0.75803,0.62857,0.66444,0.31478,1.76746,0.91092,1.25819,0.000192792,0.000192792,0.000192792
42,232.667,1.12097,0.58485,0.94496,0.80495,0.60519,0.67185,0.31517,1.76508,0.91143,1.26222,0.000157516,0.000157516,0.000157516
43,237.918,1.10256,0.59866,0.96524,0.79177,0.60519,0.65957,0.31621,1.7627,0.91359,1.26513,0.00012557,0.00012557,0.00012557
44,243.078,1.0795,0.57459,0.94453,0.8037,0.58961,0.65225,0.31816,1.76748,0.91337,1.27246,9.70778e-05,9.70778e-05,9.70778e-05
